Wavelet	Vanishing_Moments	Level	Retention	Avg_PSNR
db2	2	1	0.01	11.2736
db2	2	2	0.01	13.3683
db2	2	3	0.01	24.0736
db2	2	4	0.01	30.6629
db2	2	5	0.01	30.9282
db2	2	6	0.01	30.9364
db2	2	1	0.03	12.6757
db2	2	2	0.03	22.9936
db2	2	3	0.03	34.4969
db2	2	4	0.03	35.2529
db2	2	5	0.03	35.3341
db2	2	6	0.03	35.3432
db2	2	1	0.05	14.4694
db2	2	2	0.05	32.7854
db2	2	3	0.05	37.1589
db2	2	4	0.05	37.5368
db2	2	5	0.05	37.5838
db2	2	1	0.10	21.7727
db2	2	2	0.10	39.4586
db2	2	3	0.10	40.6566
db2	2	4	0.10	40.8205
db2	2	5	0.10	40.8569
db3	3	1	0.01	11.3100
db3	3	2	0.01	13.4886
db3	3	3	0.01	24.4331
db3	3	4	0.01	30.8696
db3	3	5	0.01	31.0854
db3	3	6	0.01	31.0819
db3	3	1	0.03	12.7493
db3	3	2	0.03	23.2726
db3	3	3	0.03	34.7512
db3	3	4	0.03	35.4646
db3	3	5	0.03	35.5489
db3	3	6	0.03	35.5653
db3	3	1	0.05	14.5789
db3	3	2	0.05	33.3067
db3	3	3	0.05	37.3814
db3	3	4	0.05	37.7604
db3	3	5	0.05	37.8171
db3	3	6	0.05	37.8487
db3	3	1	0.10	21.9656
db3	3	2	0.10	39.7865
db3	3	3	0.10	40.9051
db3	3	4	0.10	41.0800
db3	3	5	0.10	41.1348
db3	3	6	0.10	41.1833
db4	4	1	0.01	11.3013
db4	4	2	0.01	13.5510
db4	4	3	0.01	24.7393
db4	4	4	0.01	30.8843
db4	4	5	0.01	31.0593
db4	4	6	0.01	31.0289
db4	4	1	0.03	12.7130
db4	4	2	0.03	23.4165
db4	4	3	0.03	34.7690
db4	4	4	0.03	35.4831
db4	4	5	0.03	35.5688
db4	4	6	0.03	35.5869
db4	4	1	0.05	14.5373
db4	4	2	0.05	33.5744
db4	4	3	0.05	37.4183
db4	4	4	0.05	37.8039
db4	4	5	0.05	37.8686
db4	4	6	0.05	37.9098
db4	4	1	0.10	21.9767
db4	4	2	0.10	39.8520
db4	4	3	0.10	40.9584
db4	4	4	0.10	41.1558
db4	4	5	0.10	41.2336
db4	4	6	0.10	41.3051
db5	5	1	0.01	11.3313
db5	5	2	0.01	13.6117
db5	5	3	0.01	24.8034
db5	5	4	0.01	30.6831
db5	5	5	0.01	30.7818
db5	5	1	0.03	12.7824
db5	5	2	0.03	23.5124
db5	5	3	0.03	34.6639
db5	5	4	0.03	35.3043
db5	5	5	0.03	35.3843
db5	5	1	0.05	14.6425
db5	5	2	0.05	33.6506
db5	5	3	0.05	37.3196
db5	5	4	0.05	37.6902
db5	5	5	0.05	37.7598
db5	5	1	0.10	22.1251
db5	5	2	0.10	39.8404
db5	5	3	0.10	40.9341
db5	5	4	0.10	41.1390
db5	5	5	0.10	41.2344
db6	6	1	0.01	11.3653
db6	6	2	0.01	13.6776
db6	6	3	0.01	25.0071
db6	6	4	0.01	30.5546
db6	6	5	0.01	30.6416
db6	6	1	0.03	12.8595
db6	6	2	0.03	23.6133
db6	6	3	0.03	34.5734
db6	6	4	0.03	35.1857
db6	6	5	0.03	35.2762
db6	6	1	0.05	14.7574
db6	6	2	0.05	33.7231
db6	6	3	0.05	37.2257
db6	6	4	0.05	37.5984
db6	6	5	0.05	37.6815
db6	6	1	0.10	22.2715
db6	6	2	0.10	39.7852
db6	6	3	0.10	40.8865
db6	6	4	0.10	41.1056
db6	6	5	0.10	41.2224
db7	7	1	0.01	11.3744
db7	7	2	0.01	13.7285
db7	7	3	0.01	25.1136
db7	7	4	0.01	30.3848
db7	7	5	0.01	30.4079
db7	7	1	0.03	12.8774
db7	7	2	0.03	23.6750
db7	7	3	0.03	34.4470
